0x01	pcm_s_le	waveform	(none)
0x02	pcm_s_be	waveform	(none)
0x03	pcm_s_pdp	waveform	(none)
0x05	pcm_u_le	waveform	(none)
0x06	pcm_u_be	waveform	(none)
0x07	pcm_u_pdp	waveform	(none)
0x08	midi_file   	midi, waveform	(none)
0x10	ogg_vorbis  	waveform	Ogg Vorbis
0x11	flac		waveform	native FLAC
0x12	ogg_speex   	waveform	(none)
0x14	ogg_flac    	waveform	(none)
0x15	ogg_general 	(?)		Ogg data of unknown type (should not be used)
0x16	ogg_celt    	waveform	(none)
0x17	ogg         	complex		(none)
0x1a	roar_celt   	waveform	(none)
0x1b	roar_speex  	waveform	(none)
0x1c	raum        	complex		(none)
0x1d	raum_vorbis 	waveform	(none)
0x1e	raum_flac   	waveform	(none)
0x20	riff_wave   	waveform	(none)
0x30	alaw        	waveform	(none)
0x34	mulaw       	waveform	(none)
0x40	meta_vclt	(?)		Vorbis Comment Like Text
0x44	meta_ralt	(?)		RoarAudio Like Text
0x4c	meta_ralb	(?)		RoarAudio Like Binary (should not be used)
0x4d	meta_ralb_le	(?)		RoarAudio Like Binary in little endian
0x4e	meta_ralb_be	(?)		RoarAudio Like Binary in big endian
0x4f	meta_ralb_pdp	(?)		RoarAudio Like Binary in PDP (middle) endian
0x50	cont_null   	(?)		(none)
0x51	cont_gzip   	(?)		(none)
0x52	cont_bzip2  	(?)		(none)
0x53	cont_opgpbin	(?)		(none)
0x54	cont_opgpasc	(?)		(none)
0x55	cont_tar    	(?)		(none)
0x60	midi        	midi		(none)
0x70	dmx512      	light		(none)
0x71	roardmx     	light		(none)
0x80	rds         	rdtcs		(none)
0x90	user0       	(ALL)		(none)
0x91	user1       	(ALL)		(none)
0x92	user2       	(ALL)		(none)
0x93	user3       	(ALL)		(none)
0x94	user4       	(ALL)		(none)
0x95	user5       	(ALL)		(none)
0x96	user6       	(ALL)		(none)
0x97	user7       	(ALL)		(none)
0x98	user8       	(ALL)		(none)
0x99	user9       	(ALL)		(none)
0x9a	user10      	(ALL)		(none)
0x9b	user11      	(ALL)		(none)
0x9c	user12      	(ALL)		(none)
0x9d	user13      	(ALL)		(none)
0x9e	user14      	(ALL)		(none)
0x9f	user15      	(ALL)		(none)
