1	play       	waveform	in	(none)
2	record     	waveform	out	(none)
3	monitor    	waveform	out	(none)
4	filter     	waveform	bidir	(none)
5	output     	waveform	out	(none)
6	mixing     	(?)		(?)	(none)
8	meta       	(?)		(?)	(none)
9	bidir      	waveform	bidir	(none)
10	thru      	(dep)		out	(none)
11	bridge    	(multi)		(?)	(none)
12	midi_in   	midi		in	(none)
13	midi_out  	midi		out	(none)
14	light_in  	light		in	(none)
15	light_out 	light		out	(none)
16	raw_in    	raw		in	(none)
17	raw_out   	raw		out	(none)
18	complex_in 	complex		in	(none)
19	complex_out	complex		out	(none)
20	rdtcs_in   	rdtcs		in	(none)
21	rdtcs_out  	rdtcs		out	(none)
22	dirids    	(max)		(none)	(none)
